#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Fri Oct 05 01:54:40 EDT 2018,13,13,Assignment5Suite,AngleMoveLeftLineTestCase+ AngleMoveRightLineTestCase+ , ,BridgeSceneArthurMoveHeadTestCase- BridgeSceneArthurMoveLeftArmTestCase- BridgeSceneArthurMoveRightLegTestCase- BridgeSceneArthurMoveStringShapeTestCase- BridgeSceneArthurScaleHeadTestCase- BridgeSceneArthurScaleLeftArmTestCase- BridgeSceneArthurScaleRightLegTestCase- BridgeSceneGalahadMoveLeftArmTestCase- BridgeSceneGalahadScaleLeftArmTestCase- BridgeSceneLancelotMoveLeftArmTestCase- BridgeSceneLancelotScaleLeftArmTestCase- BridgeSceneRobinMoveLeftArmTestCase- BridgeSceneRobinScaleLeftArmTestCase- , ,
1,Fri Oct 05 16:11:24 EDT 2018,13,0,Assignment5Suite,AngleMoveLeftLineTestCase AngleMoveRightLineTestCase , ,BridgeSceneArthurMoveHeadTestCase BridgeSceneArthurMoveLeftArmTestCase BridgeSceneArthurMoveRightLegTestCase BridgeSceneArthurMoveStringShapeTestCase BridgeSceneArthurScaleHeadTestCase BridgeSceneArthurScaleLeftArmTestCase BridgeSceneArthurScaleRightLegTestCase BridgeSceneGalahadMoveLeftArmTestCase BridgeSceneGalahadScaleLeftArmTestCase BridgeSceneLancelotMoveLeftArmTestCase BridgeSceneLancelotScaleLeftArmTestCase BridgeSceneRobinMoveLeftArmTestCase BridgeSceneRobinScaleLeftArmTestCase , ,
2,Sat Oct 06 00:51:23 EDT 2018,100,87,Assignment5Suite,AngleMoveLeftLineTestCase AngleMoveRightLineTestCase BridgeSceneArthurMoveHeadTestCase+ BridgeSceneArthurMoveLeftArmTestCase+ BridgeSceneArthurMoveRightLegTestCase+ BridgeSceneArthurMoveStringShapeTestCase+ BridgeSceneArthurScaleHeadTestCase+ BridgeSceneArthurScaleLeftArmTestCase+ BridgeSceneArthurScaleRightLegTestCase+ BridgeSceneGalahadMoveLeftArmTestCase+ BridgeSceneGalahadScaleLeftArmTestCase+ BridgeSceneLancelotMoveLeftArmTestCase+ BridgeSceneLancelotScaleLeftArmTestCase+ BridgeSceneRobinMoveLeftArmTestCase+ BridgeSceneRobinScaleLeftArmTestCase+ , , , ,
