#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Tue Sep 04 19:40:29 EDT 2018,50,50,Assignment2Suite,MixedOutputTest+ MultipleNumberOutputTest+ MultipleQuoteOutputTest+ MultipleWordOutputTest+ , ,MissingQuoteOutputTest- MultipleSignOutputTest- ScannerBeanOutputTest- ScannerBeanPropertyTest- , ,
1,Wed Sep 05 15:21:19 EDT 2018,75,25,Assignment2Suite,MixedOutputTest MultipleNumberOutputTest MultipleQuoteOutputTest MultipleWordOutputTest ScannerBeanOutputTest+ ScannerBeanPropertyTest+ , ,MissingQuoteOutputTest MultipleSignOutputTest , ,
2,Wed Sep 05 16:06:38 EDT 2018,25,-50,Assignment2Suite,MissingQuoteOutputTest+ ScannerBeanPropertyTest , ,MixedOutputTest- MultipleNumberOutputTest- MultipleQuoteOutputTest- MultipleSignOutputTest MultipleWordOutputTest- ScannerBeanOutputTest- , ,
3,Wed Sep 05 16:07:29 EDT 2018,87,62,Assignment2Suite,MissingQuoteOutputTest MixedOutputTest+ MultipleNumberOutputTest+ MultipleQuoteOutputTest+ MultipleWordOutputTest+ ScannerBeanOutputTest+ ScannerBeanPropertyTest , ,MultipleSignOutputTest , ,
4,Wed Sep 05 16:09:09 EDT 2018,87,0,Assignment2Suite,MissingQuoteOutputTest MixedOutputTest MultipleNumberOutputTest MultipleQuoteOutputTest MultipleWordOutputTest ScannerBeanOutputTest ScannerBeanPropertyTest , ,MultipleSignOutputTest , ,
5,Wed Sep 05 16:17:12 EDT 2018,100,13,Assignment2Suite,MissingQuoteOutputTest MixedOutputTest MultipleNumberOutputTest MultipleQuoteOutputTest MultipleSignOutputTest+ MultipleWordOutputTest ScannerBeanOutputTest ScannerBeanPropertyTest , , , ,
6,Thu Sep 06 16:12:36 EDT 2018,100,0,Assignment2Suite,MissingQuoteOutputTest MixedOutputTest MultipleNumberOutputTest MultipleQuoteOutputTest MultipleSignOutputTest MultipleWordOutputTest ScannerBeanOutputTest ScannerBeanPropertyTest , , , ,
7,Thu Sep 06 16:18:50 EDT 2018,100,0,Assignment2Suite,MissingQuoteOutputTest MixedOutputTest MultipleNumberOutputTest MultipleQuoteOutputTest MultipleSignOutputTest MultipleWordOutputTest ScannerBeanOutputTest ScannerBeanPropertyTest , , , ,
8,Thu Sep 06 16:23:23 EDT 2018,100,0,Assignment2Suite,MissingQuoteOutputTest MixedOutputTest MultipleNumberOutputTest MultipleQuoteOutputTest MultipleSignOutputTest MultipleWordOutputTest ScannerBeanOutputTest ScannerBeanPropertyTest , , , ,
