#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Thu Apr 18 15:59:35 EDT 2019,90,90,Assignment4Suite,ContainsTest0+ ContainsTest1+ ContainsTest2+ EmptyTest0+ EmptyTest2+ FindMinMaxTest0+ FindMinMaxTest1+ HeightTest+ InsertAfterRemoveTest1+ InsertAfterRemoveTest2+ InsertTest0+ InsertTest1+ InsertTest2+ InsertTest3+ InsertTest4+ InsertTest5+ RemoveTest0+ RemoveTest1+ RemoveTest2+ RemoveTest3+ RemoveTest4+ RemoveTest5+ RemoveTest6+ RemoveTest7+ SizeTest0+ SizeTest1+ SizeTest2+ SizeTest3+ , ,EmptyTest1- FindMinMaxTest2- InsertAfterRemoveTest0- , ,
1,Thu Apr 18 16:07:04 EDT 2019,93,3,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2+ HeightTest InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,EmptyTest1 InsertAfterRemoveTest0 , ,
2,Thu Apr 18 16:13:32 EDT 2019,93,0,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,EmptyTest1 InsertAfterRemoveTest0 , ,
3,Thu Apr 18 16:33:48 EDT 2019,100,7,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest1+ EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0+ InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
